tipo_entidad,codigo_entidad,instancia_recepcion,producto,departamento,cantidad_quejas_recibidas,es_fraude
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,14,0
1,7,Entidad vigilada,Creditos de consumo,ANTIOQUIA,4,0
1,39,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",4,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,281,1
5,31,Entidad vigilada,Negocios fiduciarios con entidades públicas,ANTIOQUIA,1,0
1,13,Superintendencia Financiera de Colombia,Cuenta de ahorro,SANTANDER,1,0
23,9,Entidad vigilada,Cesantías,"BOGOTÁ, D.C.",1,0
1,43,Entidad vigilada,Cuenta de ahorro,TOLIMA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,1,0
1,2,Superintendencia Financiera de Colombia,Créditos de vivienda,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),MAGDALENA,1,0
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,BOYACÁ,1,0
1,56,Entidad vigilada,Tarjetas de crédito,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,2,0
1,7,Entidad vigilada,Cuenta de ahorro,CASANARE,1,0
1,39,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CASANARE,3,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),HUILA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,TOLIMA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,4,1
1,39,Entidad vigilada,Cuenta de ahorro,QUINDÍO,1,1
1,39,Entidad vigilada,Cuenta de ahorro,SANTANDER,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CAQUETÁ,1,0
1,42,Superintendencia Financiera de Colombia,Tarjetas de crédito,"BOGOTÁ, D.C.",1,1
1,7,Entidad vigilada,Créditos comerciales,ANTIOQUIA,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ATLÁNTICO,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,3,0
1,39,Entidad vigilada,Tarjetas de crédito,ATLÁNTICO,6,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CÓRDOBA,3,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),HUILA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ATLÁNTICO,1,0
1,43,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,3,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SUCRE,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,0
128,6,Entidad vigilada,Depósitos ordinarios (Capítulo II del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),TOLIMA,4,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,26,0
13,1,Entidad vigilada,Seguro de hogar,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Cuenta corriente,ANTIOQUIA,3,0
1,30,Entidad vigilada,Cuenta de ahorro,CUNDINAMARCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,30,Entidad vigilada,Cuenta de ahorro,CÓRDOBA,1,0
128,6,Entidad vigilada,Otros productos de Fiduciarias,"BOGOTÁ, D.C.",1,0
13,18,Entidad vigilada,Seguro de cumplimiento,RISARALDA,1,0
128,3,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",6,1
1,7,Superintendencia Financiera de Colombia,Cuenta de ahorro,SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,1
128,3,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,37,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CHOCÓ,1,0
23,3,Superintendencia Financiera de Colombia,Cesantías,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,103,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CASANARE,1,0
1,42,Superintendencia Financiera de Colombia,Tarjetas de crédito,ANTIOQUIA,1,1
1,56,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",6,0
23,2,Superintendencia Financiera de Colombia,Pensiones obligatorias - Vejez,"BOGOTÁ, D.C.",2,0
1,2,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,3,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CESAR,3,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,1
1,39,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,0
1,13,Superintendencia Financiera de Colombia,Cuenta de ahorro,CUNDINAMARCA,1,0
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,BOYACÁ,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",4,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CASANARE,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,4,0
1,1,Superintendencia Financiera de Colombia,Cuenta de ahorro,META,1,1
1,39,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",43,1
1,43,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",35,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",1,0
1,7,Entidad vigilada,Cuenta corriente,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),META,5,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CAUCA,1,0
1,42,Entidad vigilada,Cuenta de ahorro,BOLÍVAR,1,0
128,6,Entidad vigilada,Otros productos de Fiduciarias,"BOGOTÁ, D.C.",3,0
4,128,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",1,0
1,42,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
5,12,Entidad vigilada,Pensiones obligatorias - Vejez,VALLE DEL CAUCA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,VALLE DEL CAUCA,9,1
1,1,Superintendencia Financiera de Colombia,Cuenta de ahorro,"BOGOTÁ, D.C.",1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),TOLIMA,1,0
1,7,Entidad vigilada,Créditos de vivienda,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),MAGDALENA,2,0
1,39,Entidad vigilada,Tarjetas de crédito,CUNDINAMARCA,3,1
14,11,Entidad vigilada,Seguro de vida individual,RISARALDA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CALDAS,1,0
1,43,Entidad vigilada,Créditos comerciales,CÓRDOBA,1,0
14,7,Entidad vigilada,Seguro de salud,"BOGOTÁ, D.C.",1,0
1,43,Entidad vigilada,Créditos comerciales,NORTE DE SANTANDER,1,0
1,39,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
14,7,Superintendencia Financiera de Colombia,Seguro de responsabilidad civil,ATLÁNTICO,1,0
1,39,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",4,0
1,39,Entidad vigilada,Tarjetas de crédito,ATLÁNTICO,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,2,0
1,39,Entidad vigilada,Cuenta de ahorro,PUTUMAYO,1,0
1,39,Entidad vigilada,Cuenta de ahorro,META,1,0
1,58,Entidad vigilada,Tarjetas de crédito,SANTANDER,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ATLÁNTICO,1,1
1,42,Entidad vigilada,Creditos de consumo,"BOGOTÁ, D.C.",1,0
1,39,Entidad vigilada,Cuenta de ahorro,CALDAS,1,1
1,39,Entidad vigilada,Tarjetas de crédito,TOLIMA,2,1
1,39,Entidad vigilada,Tarjetas de crédito,BOYACÁ,2,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,1
1,7,Entidad vigilada,Cuenta de ahorro,NORTE DE SANTANDER,1,0
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,HUILA,2,1
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,"BOGOTÁ, D.C.",3,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CASANARE,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,190,0
1,7,Entidad vigilada,Creditos de consumo,ANTIOQUIA,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,43,Entidad vigilada,Cuenta de ahorro,TOLIMA,1,0
1,43,Entidad vigilada,Cuenta de ahorro,CALDAS,1,0
1,43,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
14,11,Entidad vigilada,Seguro de riesgos laborales,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),BOYACÁ,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,10,0
1,39,Entidad vigilada,Cuenta de ahorro,HUILA,3,1
32,5,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ATLÁNTICO,2,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,HUILA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CHOCÓ,3,1
14,23,Otra (remisión por competencia),Seguro de riesgos laborales,PUTUMAYO,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,0
13,27,Entidad vigilada,Seguro de automóviles,"BOGOTÁ, D.C.",1,0
13,33,Entidad vigilada,Seguro de automóviles,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",2,0
1,1,Superintendencia Financiera de Colombia,Creditos de consumo,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,1,1
1,30,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,4,0
1,7,Entidad vigilada,Cuenta de ahorro,VALLE DEL CAUCA,1,1
128,6,Superintendencia Financiera de Colombia,Otros productos de Fiduciarias,SUCRE,1,0
1,7,Entidad vigilada,Créditos de vivienda,ANTIOQUIA,9,0
1,39,Entidad vigilada,Cuenta de ahorro,CUNDINAMARCA,1,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,SANTANDER,1,0
1,39,Entidad vigilada,Cuenta de ahorro,ARAUCA,1,1
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,VALLE DEL CAUCA,1,0
1,7,Superintendencia Financiera de Colombia,Cuenta de ahorro,CUNDINAMARCA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,CUNDINAMARCA,1,1
1,7,Entidad vigilada,Cuenta de ahorro,BOLÍVAR,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,130,0
14,23,Superintendencia Financiera de Colombia,Seguro de riesgos laborales,"BOGOTÁ, D.C.",1,0
1,39,Entidad vigilada,Cuenta de ahorro,ARAUCA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,37,1
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,21,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
1,42,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",3,0
1,39,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,1,0
1,39,Entidad vigilada,Cuenta de ahorro,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",36,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,2,0
1,7,Entidad vigilada,Cuenta de ahorro,MAGDALENA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),NARIÑO,1,1
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,HUILA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,BOYACÁ,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ARAUCA,1,0
1,39,Entidad vigilada,Depósitos ordinarios (Capítulo II del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",3,0
1,43,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,0
1,39,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),BOYACÁ,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),PUTUMAYO,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,1,0
4,124,Entidad vigilada,Cuenta de ahorro,BOLÍVAR,1,0
1,30,Entidad vigilada,Cuenta de ahorro,SANTANDER,1,0
1,39,Entidad vigilada,Cuenta corriente,CUNDINAMARCA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),NORTE DE SANTANDER,1,0
1,43,Entidad vigilada,Cuenta de ahorro,NORTE DE SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),TOLIMA,1,0
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,0
1,43,Entidad vigilada,Créditos comerciales,NORTE DE SANTANDER,1,0
1,39,Entidad vigilada,Cuenta de ahorro,CAUCA,1,1
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,ANTIOQUIA,1,0
1,42,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",1,0
1,39,Entidad vigilada,Cuenta de ahorro,CUNDINAMARCA,1,1
1,7,Entidad vigilada,CDT,ANTIOQUIA,12,0
4,128,Entidad vigilada,Tarjetas de crédito,HUILA,1,1
1,7,Entidad vigilada,Cuenta corriente,ANTIOQUIA,2,1
1,7,Superintendencia Financiera de Colombia,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,23,Superintendencia Financiera de Colombia,Creditos de consumo,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),META,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),META,1,0
13,44,Entidad vigilada,Seguro de accidentes personales,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),NORTE DE SANTANDER,1,1
1,2,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",1,0
4,128,Superintendencia Financiera de Colombia,Tarjetas de crédito,NORTE DE SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),HUILA,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),LA GUAJIRA,1,0
14,11,Entidad vigilada,Seguro de vida grupo,VALLE DEL CAUCA,1,0
13,33,Entidad vigilada,Seguro de automóviles,"BOGOTÁ, D.C.",1,0
127,1,Superintendencia Financiera de Colombia,Planilla integrada de liquidación de aportes,SANTANDER,1,0
1,1,Superintendencia Financiera de Colombia,Cuenta de ahorro,ATLÁNTICO,1,0
128,6,Entidad vigilada,Otros productos de Fiduciarias,"BOGOTÁ, D.C.",4,0
1,7,Superintendencia Financiera de Colombia,Cuenta de ahorro,"BOGOTÁ, D.C.",1,1
1,7,Entidad vigilada,Cuenta de ahorro,CUNDINAMARCA,1,1
1,56,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",3,1
1,43,Entidad vigilada,Cuenta de ahorro,VALLE DEL CAUCA,1,0
14,11,Entidad vigilada,Seguro de salud,ANTIOQUIA,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,13,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CESAR,1,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,BOYACÁ,1,0
13,5,Entidad vigilada,Seguro de accidentes personales,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,39,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),VALLE DEL CAUCA,3,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ATLÁNTICO,2,0
1,7,Entidad vigilada,Cuenta de ahorro,BOLÍVAR,1,0
1,7,Entidad vigilada,Creditos de consumo,NORTE DE SANTANDER,1,0
5,12,Otra (remisión por competencia),Fiducia de administración,"BOGOTÁ, D.C.",1,0
14,11,Entidad vigilada,Seguro de vida grupo,GUAVIARE,1,0
1,42,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CESAR,5,0
1,56,Entidad vigilada,Tarjetas de crédito,META,1,1
1,39,Entidad vigilada,Cuenta de ahorro,BOLÍVAR,3,1
1,7,Entidad vigilada,Cuenta de ahorro,BOLÍVAR,1,1
4,128,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,1
1,39,Entidad vigilada,Tarjetas de crédito,BOYACÁ,1,0
1,7,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,9,0
1,42,Entidad vigilada,Tarjetas de crédito,MAGDALENA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),TOLIMA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,1,0
1,43,Entidad vigilada,Cuenta de ahorro,CESAR,2,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),TOLIMA,1,0
14,11,Entidad vigilada,Seguro de salud,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),BOLÍVAR,1,0
